id,app_prize,description,have_pricing_hint,num_of_categories,num_of_pricing_plans,num_of_reviews,avg_of_ratings,num_of_replies
06b25922-0258-4dc6-aa78-94ce967246b2,0,820,1,3,2,0,0,0
06c462d0-67b1-4bbe-9486-3421b7c0443f,0,896,1,2,3,1,3.0000,0
06d357e3-3151-4c51-8cfd-3823d0c579e1,1,2335,1,7,4,271,4.8450,19
06d464f4-56cf-434b-90e3-17044ad0b0ac,0,2250,0,2,1,81,2.4321,855
06f28f56-a8f2-4b2b-b7ef-2560967fa9ef,0,2290,1,2,1,0,0,0
06f3dbbe-03e0-46ad-b4b0-044599fa8b50,1,1557,1,1,1,101,4.9802,8
0706fbd5-1765-4865-a43e-17385a7e0cff,0,2254,1,8,2,12,4.0000,3
07235ea8-65a5-4258-a1f7-1749633f5fc1,0,1896,0,9,1,0,0,0
07369de0-1a80-400b-a30d-4a531413d302,0,2169,0,1,1,21,3.6190,5
075d4e23-7d48-48f9-981c-6d531242bc33,0,2642,0,6,4,29,4.5862,2
0761f503-e1f6-4c3a-b14b-104b9e90f661,0,1844,1,3,3,5,2.2000,0
078116a7-6451-4b7f-aac6-bf453821ab93,0,3004,0,7,1,9,5.0000,9
07a31250-1828-45a1-aa30-a69d35ab0801,0,1633,1,4,1,189,4.4815,11
07a92cc8-25c0-4028-a64a-4897f274d6e0,0,2468,1,4,2,12,3.2500,12
07dee84d-f8d3-4784-8083-47b711003a58,0,2554,1,1,1,97,4.8247,1
080c937f-6c32-479f-9e04-5aff12e42e14,0,2414,0,3,4,16,5.0000,3
0853a47b-d36a-4cd4-a493-81891f079410,0,3084,0,3,4,401,4.7830,0
08686ab6-cdd5-4b9b-9518-5c82c17c4f7c,1,2694,1,1,2,452,4.5354,1280
086d225b-6725-4a6f-ab6a-0d07324a0e2f,0,2936,1,8,3,16,5.0000,10
08713526-5de0-4641-985d-d70e9c7df369,0,1305,1,3,2,6,5.0000,26
08767295-ab5e-4f13-85c7-078471e262ed,0,2791,0,3,1,28,4.0000,4
08802699-9eea-4a6b-9342-e84842064158,0,1510,0,3,4,2,3.5000,1
08b520b0-aa03-45e4-9247-b20a2348bfb2,0,1063,1,6,1,8,5.0000,0
08d1c63a-de74-4e77-80ab-a2d70fc98173,0,1186,0,2,1,17,4.4118,14
08d8fd66-760d-49b0-8818-f42907e17183,0,58,0,9,1,0,0,0
08ee089d-3db8-49e4-9c29-1e1dfc0fe033,0,1534,0,4,2,9,4.6667,23
08f4a424-0c36-4572-8508-78f1393d11b5,0,1293,1,3,3,1,1.0000,21
08f96933-ae4c-41ab-845c-f198f823043d,0,814,1,3,1,5,4.0000,3
08f9a548-ebc1-4f3c-9ee1-da6141d2027a,0,713,0,1,1,6,4.0000,20
09060500-64c3-4566-a6ac-770626a150ec,0,1749,1,1,1,16,3.0000,27
090a192a-75b9-45dc-bc80-93f68864de8f,0,2116,1,2,1,0,0,8
090c0cf5-0ee2-494d-88d6-d9cac9f8a1a9,0,1529,1,5,3,0,0,0
0911ec90-ab0d-4bc3-9065-adc7f445041b,0,1500,1,3,1,0,0,0
0925e615-e476-4690-8929-f72de99f8289,0,2679,1,3,4,62,4.7097,5
092c7e9c-96f5-4c31-ae59-aa58b3a0818e,0,2183,0,2,1,125,4.6800,37
09352643-fe62-4441-83e1-d09bdb9980b1,0,2707,0,2,1,6,2.1667,0
09921fa7-6e5e-49ba-9a6a-6b044c643a84,0,1751,1,4,2,18,4.7222,2
09a88b8b-abda-45c7-91c6-1ac75e7584c3,0,1665,1,6,1,0,0,0
09e5b2ed-43d8-44bf-9dac-5634746b6127,0,3046,1,1,3,8,4.6250,0
09e8e072-f28f-4c93-9007-24e8fdfc25de,0,1710,1,1,1,3,4.6667,0
09fa606d-43c2-418c-8341-00e8960a0e77,0,2809,1,5,2,2,5.0000,0
0a00cc52-a16c-40be-8d64-c956e36cdc0c,0,2639,1,2,1,1,5.0000,0
0a06db11-9b97-4c43-9448-14fb5427e4cf,0,1899,1,8,4,14,4.7143,0
0a087154-a12f-4346-98f6-f70826b0539b,0,2986,0,1,4,263,4.7719,21
0a225424-4805-465b-b710-0040df25ad29,1,1752,1,2,2,92,4.4239,650
0a28f71b-90c1-4678-b42d-1b16bd638cc7,0,1606,1,3,1,8,2.7500,0
0a31ea81-5089-43ce-9095-3ba4e2eaeab9,0,1012,0,4,3,0,0,0
0a38e5eb-b5b3-4178-92b2-ee20df5c291f,0,2402,1,1,1,12,4.1667,36
0a523961-b327-4e50-b3f4-3634eb9cf91e,0,1230,1,6,2,3,5.0000,0
0a56a5d6-77d3-4173-8e94-acccf6d7eb3f,0,2007,0,3,1,1,5.0000,0
0a6f0764-7bab-4b44-9252-f8f027bbbc73,0,1458,0,3,1,0,0,0
0a70ff1e-abbf-42f2-8211-03ab28df5ebf,0,1233,0,2,1,21,3.6667,16
0a72f0c2-e0ca-41c7-998c-7b275fd3ba61,0,1811,0,2,2,12,3.8333,23
0a78d89e-1684-4be2-ac95-8a1c28c6d22d,0,1387,1,2,2,6,4.1667,2
0aaac3c5-aaa7-4943-90a8-65d8264a6b75,0,655,1,7,1,1,5.0000,0
0aaca76b-c7eb-4652-971a-53930955df58,0,2036,1,3,1,42,4.5238,0
0ac790bf-b7e8-48c5-a57b-2d36de999843,0,1947,0,6,1,0,0,0
0ae79549-dc24-4465-831e-6d6485189bd8,0,2719,1,4,1,8,5.0000,0
0ae90981-b8f3-4996-87af-92f2af5c09f6,0,2110,1,6,4,74,4.9189,4
0aec4e0c-2c25-4fb5-87a8-a6d9d3b54903,1,2236,1,3,3,5,5.0000,41
0af7a8c9-5996-4662-92ba-213f0b9c9e7c,0,1299,1,2,4,0,0,0
0b053332-45c7-4ad0-834a-a90ced94a605,0,2552,0,1,1,48,4.5625,21
0b17a240-60d8-4d49-9098-accfc99a3c34,0,1674,1,2,3,0,0,0
0b20ad4c-58b5-4f7e-a56c-956c5e5054a4,0,1148,1,3,1,12,5.0000,0
0b23d5be-d480-443f-b6f1-1c8464d6ac20,0,1427,1,3,1,2,5.0000,1
0b2be6ad-eed1-4ef3-93b1-df10568988fa,0,2753,0,4,3,10,4.9000,0
0b35f6d0-915f-4694-86fd-9e707ae67618,0,2488,1,1,1,2,5.0000,0
0b371679-5d8c-4e41-9628-22cfed46e52b,0,2584,0,1,1,8,4.0000,1
0b432370-2794-480a-beda-927f891400fe,0,842,1,6,3,3,5.0000,0
0b54a053-8db3-41db-8d2b-0877ccc07879,0,2788,1,6,3,6,3.1667,0
0b68a6fb-b86c-462c-a1f6-64a3e3b160ea,0,1165,1,2,3,0,0,0
0b6b4a1b-edea-4762-b975-e04050eea10b,0,1905,1,2,1,4,5.0000,4
0b864cc4-2f21-45a5-8478-8ae4c625b6be,0,2042,0,5,1,22,5.0000,0
0ba88286-f5b4-4645-a561-dd2cb7d9e528,0,400,0,5,1,0,0,0
0babf710-1315-4da9-bf29-f3bf3e3d249d,0,1520,0,4,1,9,5.0000,87
0bb58f80-37de-4726-98fe-30de3c4f288b,0,1185,0,4,4,0,0,1
0bdd07a2-e24e-4049-b4f9-1ac10c0ad9c8,0,787,0,5,1,2,5.0000,2
0be128e9-657c-4a6d-ac44-a9c74e75b3db,1,2497,0,6,2,311,4.8939,19
0bf226fb-4dcc-4e87-853d-dfd1eb446adf,0,1227,1,2,1,1,5.0000,0
0c02660d-38c2-4731-be3c-da6b22075282,0,1352,1,1,2,5,5.0000,1
0c143dc3-be4a-47d2-aa72-e1d54e447b0c,0,707,1,5,1,1,5.0000,0
0c221d3a-81a2-4b90-9a90-c5a45a97a5bb,0,598,0,5,1,1234,4.4352,855
0c2ca502-b1b2-48ae-b786-98a9bdb13298,0,3004,0,3,1,25,4.6400,0
0c49535b-f0c2-49a3-9196-ed4f8eba19b2,0,2506,1,2,1,19,4.9474,0
0c667078-6a5e-4b2c-9672-d37192326cb1,0,1365,1,4,4,2,4.5000,0
0c6c8327-5b9c-4fff-a663-3aca5d95c291,0,2779,1,7,3,71,4.8732,6
0c70fba4-60e7-41d9-af04-0246cd80e501,0,1118,1,3,1,7,3.2857,40
0c744fb4-6826-4478-bf9f-e1501bbd9507,0,2468,1,2,3,7,5.0000,0
0c83b02b-7cb2-43a4-b3c1-63de7967894a,0,1512,1,3,3,58,4.7586,17
0c863cb9-85e4-402e-a7e2-5cbde016a1b8,0,2776,0,2,1,8,4.8750,7
0c9123b4-7c76-48f4-b2a7-663509d941c1,0,1126,1,1,2,3,4.6667,0
0ca09eaf-e8c1-419a-b24a-88f5027fd161,0,1759,0,3,3,4,5.0000,24
0cadd5b2-435a-4868-8f60-3857b84ba945,0,2173,1,5,2,1,1.0000,1
0cb918b8-aed0-44dd-a161-888371a917b4,0,1354,1,2,1,3,5.0000,3
0cefcf5e-ec35-4f2c-9cb8-edeaefb00c35,0,645,1,4,1,2,5.0000,3
0d04dda3-18e9-48a6-a652-5ce70c8ec38e,0,1440,1,3,3,15,5.0000,2
0d057886-497c-4873-910e-8ee370d425ee,0,2793,0,2,1,10,4.2000,0
0d2c8cb2-bba0-44ce-8d3a-7bc27ffc011f,0,1767,1,2,2,0,0,0
0d47e0b5-8eb4-4538-8745-a02a004c9470,0,1785,1,3,2,1,5.0000,7
0d4eda1a-49f4-4b3b-b8cf-02692476b827,0,879,1,3,1,0,0,0
0d502e85-c508-4376-be29-518d886d8b03,0,2246,0,3,1,1,5.0000,17
0d8fb2ee-f8d0-493f-9d83-5e056ebbb008,0,2252,1,2,1,0,0,0
0d910afe-3ab8-4974-bada-fc495bed694c,0,2724,0,5,1,18,3.7778,5
0d948c0d-2946-45ce-bb41-920f8640adb7,0,987,1,3,2,1,5.0000,0
0d9bde55-1978-4591-a16d-65beec58290f,0,2188,1,2,1,9,3.8889,36
0dd8b3d7-aba5-469f-a2bf-cd7f50d126e6,0,2313,1,1,3,2,5.0000,0
0ddfaaa3-c5ee-4dbe-a337-f19cff8e0a60,0,1449,1,3,1,0,0,0
0dec634f-b393-468f-ac45-542e8dcffb95,0,1946,1,4,1,27,4.4444,1
0df6a019-9c33-4ad5-8372-d88ce483b676,0,2022,0,5,1,12,4.1667,855
0dfe905f-a0cc-4277-a837-d23f2ee4f218,0,2284,0,5,1,9,3.8889,2
0e00553a-0639-45e9-adfc-d35411c69e45,1,2802,1,2,2,541,4.3087,1023
0e0c7134-09ec-4322-817d-aa905f82a8ff,0,2518,1,4,2,89,4.7079,24
0e1f4437-24c7-48a0-a2f6-63d8a7956247,0,2156,1,1,1,0,0,1
0e4bb4e8-fb54-4703-a0ea-84ad4fd0c112,1,2378,1,7,2,202,4.6832,40
0e4c6ea3-23b4-4a1c-a930-2944fff19f70,0,406,1,2,1,0,0,0
0e4d4cc7-4ca4-4fa2-b40f-8294c6d69bdb,0,1939,0,3,1,19,4.9474,2
0e99bc11-d6da-46e7-840e-02156ff064ab,0,1674,0,2,1,26,4.6923,7
0e9cda3c-d54e-4e96-8928-6e458ded6b7b,0,1950,1,5,1,2,3.0000,0
0ea97c47-af37-4f94-b91a-e70717a582a9,0,1401,1,2,1,32,3.8750,8
0f24dfa9-fd3b-4ce5-ba7a-08030fbe2211,0,2850,0,7,3,11,5.0000,1
0f2bb3ff-2a61-497e-ac22-f58a9ccac812,0,1189,0,1,2,43,4.9070,2
0f419969-73ed-481c-a2cc-b1220e36966b,0,1732,0,2,1,6,5.0000,0
0f544a92-c1db-4c63-aea5-d58e4985eec2,0,1482,0,7,1,2,3.0000,2
0f5f4303-a362-4ea0-aad1-d0d2206cb676,0,2498,1,4,1,0,0,0
0f91d3b2-d187-4b77-b78c-8cba62d553b8,0,1274,0,1,4,1,5.0000,0
0fad4561-d614-4c33-9ea7-68e043708a79,0,1490,1,1,4,24,5.0000,4
0fbd288d-7f74-43d0-a16e-644a8b7bfc2b,0,1607,1,4,1,48,5.0000,16
0fc4dc1e-8d0b-4a07-ab66-8de556872a29,1,2209,0,3,4,30,4.8667,254
0fdd6303-6a93-42ab-ab8e-d1a2d063a754,0,991,0,7,1,2,5.0000,3
0fe21b12-3fcb-42a4-819a-98aca7991643,0,1094,0,3,1,2,5.0000,2
0fed87c2-d675-4a81-965c-f7008c9857eb,0,2815,1,3,1,64,4.8750,2
102e39f2-7024-47ba-acae-9fc150c0a4db,0,2127,1,1,1,31,4.7419,0
1069d78e-0ef8-47ea-a82b-be4f391fe9ac,1,2935,1,2,4,0,0,30
10e15fb1-e99d-40cc-8b1c-2648e3a3dd24,0,2456,1,6,1,5,5.0000,0
10e96d60-7b43-4404-ba71-1197e0caa973,0,1226,0,2,1,0,0,0
10f74311-e398-4f50-bdec-8b9120b0ea89,0,2308,1,2,1,9,5.0000,0
116d3282-068b-4940-b718-d11cf47aca3c,0,2413,1,3,1,4,5.0000,2
11860f3d-0523-4e71-9f4a-dcd608a04d0c,0,1610,0,3,4,13,4.7692,24
11972f61-9b10-43e6-8aae-ade45b2b9de9,0,1212,1,5,1,8,4.7500,0
119b42e7-5227-4bbf-9312-e0725d0db28f,0,1872,1,4,3,856,4.7780,17
119dabed-4114-45c0-bfff-1e62522317b9,0,2226,1,2,3,60,4.3333,1
11b57ed0-bd69-42d1-bf82-13ea1b0dedcf,0,2691,1,3,1,7,4.2857,2
11c280ae-a48d-4e62-8ae5-7efee72232bb,0,613,0,9,1,0,0,1
11c842b3-165b-4f49-8da2-d8269ec30afa,0,1484,0,3,1,4,5.0000,0
11dbf752-f168-4049-98af-9ea802781b53,0,1421,1,1,1,1,5.0000,0
11e02a4e-fb03-457f-b22c-fa69ea3660ae,0,2316,0,7,2,211,4.3223,4
11e59c67-8223-41b2-840f-4fc1a169b0b1,0,2740,1,6,1,41,4.9024,1
11e77dce-be0a-4dac-a5c7-132dfadda58b,0,2387,0,5,1,10,5.0000,1280
11e9e57e-e069-4840-ad66-14a853bf7a11,0,1674,1,1,1,1,5.0000,0
11f79262-f8bf-4394-a5b4-4ecf16dc5f85,0,2815,1,2,2,0,0,0
11fcb057-d143-4480-8c55-71ed5cac866c,0,1073,0,4,1,0,0,0
120156f5-0fe2-4187-94d6-62f4310c7152,0,2899,1,3,1,1,5.0000,112
1201faf6-e413-4c3e-8a9c-c67eeb28a511,0,1207,1,2,1,16,4.9375,63
12095d08-e563-445f-810d-3a65b5ab2fda,0,2939,1,2,4,1,5.0000,10
12222a3e-aedb-4cb0-840a-b1b991e0535b,0,2247,0,4,1,9,5.0000,2
122af1a2-8b74-4f73-ae0e-7c90c31534b9,0,2326,1,2,2,15,3.0667,0
122c9de5-1bdc-438c-b020-752c1e03defc,0,419,1,2,4,0,0,0
1242543c-0780-49f8-a3da-102c95ee75e0,0,2855,1,3,1,119,4.5210,6
124b2c39-038f-4ad8-833c-1b9843fb3860,0,1169,1,4,3,115,4.7217,2
125df21e-a39f-49d9-ab2c-aa8824a54976,1,3091,1,1,2,810,4.5642,1023
1268b598-42c4-41ac-bada-9bd7956fe342,0,1490,0,4,1,0,0,0
127608ff-0423-420b-b88b-05f6f9e6c6a4,0,188,0,3,1,0,0,0
127ac98f-ef6e-49f6-8cb4-de90ddd1f1dc,0,856,0,3,1,196,4.2245,19
127fb6bd-967d-4dff-8ba4-0b170bbb286f,0,1456,0,3,1,0,0,0
1284bb58-9cea-4284-a4d6-b697f682e321,0,2951,1,7,3,21,4.9524,6
1289e73f-dc23-4498-8bad-711600d88395,0,1065,1,2,1,0,0,0
1295322d-9202-4c22-b922-ce748a331f5d,1,2464,0,5,4,523,4.6310,92
12af9971-1fe0-4bd7-aa9a-2a3458cb4274,0,2754,1,4,1,1,5.0000,0
12c1a584-9e95-4167-aef1-f264efea8b4f,0,2891,0,5,2,10,4.5000,10
131212d8-dffb-4adf-8bfa-8b95af6dfac7,0,1513,1,3,4,2,3.0000,4
13135257-4c4f-45ef-a5d0-59cc4f83f564,0,2775,0,1,3,8,4.5000,3
132395ef-2175-4029-aba1-357832481b7e,0,2300,1,3,1,0,0,0
134202f5-d5f8-4891-aa32-6f5db41136ec,1,1672,0,4,4,200,4.8700,0
1349073f-04a4-4654-90b4-d6186456fa0d,0,2259,1,5,1,3,2.3333,0
13721c7b-0194-42d0-bb18-496da48dba3f,0,2768,1,2,2,30,4.5667,1
13775c42-2b75-49fc-9598-a752cb0548ef,0,1291,1,3,1,57,4.7368,0
13816bf7-bce6-40f6-9b82-9ba46a955f2c,0,1512,0,4,1,3,4.3333,30
13d35016-bd10-4d7d-a568-5cf473d6b295,0,1540,0,3,1,44,4.4545,1
13de194e-48ec-4d8e-89bf-998ef85348af,0,1565,0,2,1,5,4.2000,4
1428828c-96fe-4c0a-bac6-aa0dd6142aba,1,3054,1,6,3,1682,4.8514,2
14645cbd-b0b0-42f0-a753-944bf2287ac9,0,1448,0,4,3,3,5.0000,1
14689d45-f4e7-4563-9ff2-7150652fcf6a,1,2910,0,2,2,87,4.4828,30
147c04dc-beb4-4893-9dad-84ae3094fb08,0,1693,0,3,1,4,3.5000,4
147c5480-c13f-4626-8344-4470837eb57e,0,2466,1,1,1,1,1.0000,0
148562a0-b087-49f6-a63a-45a4022def1b,0,2687,1,4,1,13,4.9231,0
14894d2d-0eb5-4b70-ade2-5e2f4eec0f7f,1,2910,1,3,1,126,4.8175,63
148ff2f8-5c09-4404-8ad5-f78bf30b71f9,0,1720,0,2,1,0,0,0
149c7ba7-85ab-42cd-9a0c-ce0c04e361d6,1,2975,1,2,1,161,4.9814,0
149ff559-713a-49f0-8b34-e85f8359c440,1,2784,0,2,4,203,4.9852,0
14cac553-5588-4b70-8db3-c3a2b7166595,1,3060,0,1,2,465,4.7677,1212
14e7efce-b607-4ca9-b1c7-8fe76d26fd15,0,2314,0,4,2,6,5.0000,5
15037fdc-3c79-4329-b490-05efd47a3f1c,0,2137,1,2,3,4,4.5000,0
15169cb9-2ea0-4a82-96d6-152a6cc1229b,0,1034,1,2,1,114,4.3158,7
153e72f9-3385-403e-8df2-ee27412c2520,0,606,1,3,4,1,5.0000,0
155626ef-c6e2-44b6-9cc3-51ba93b60a33,0,1590,1,2,2,1,5.0000,0
1557c4f9-c06d-4a27-a1a9-9320d97c314d,0,2152,1,2,1,5,4.2000,1
1558ffb9-bbc0-409d-acc1-e0cd1f2664ea,0,1561,1,3,1,86,3.5930,76
1561872f-bbae-4434-ba39-1753134c598e,0,1181,1,1,1,0,0,0
1582e1ca-50bf-4588-8301-e0008c35fe6f,0,716,0,1,1,8,4.5000,4
1583f090-9fa3-4e92-9845-98ced69feed6,0,2110,1,1,1,2,1.0000,40
158641be-bd49-403e-a1a1-8687d16dd991,0,1197,1,6,1,0,0,2
1598c6bc-d16d-4267-b71c-d2d288db7089,0,2127,1,3,1,4,3.5000,1
15a7ed6e-326d-4cf8-aadc-fe445d716f7e,1,1101,0,2,2,254,4.7323,76
15b0aebf-d834-4db3-be04-a1cb75b1187d,0,3045,1,1,2,1949,4.7491,18
15b71fad-aa89-480a-8a9f-91eeea16108e,0,2406,0,10,1,22,5.0000,7
15c87c91-a84c-49a5-a631-90b4e70c4432,0,2874,1,6,1,2,5.0000,6
